Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
Gentbrugge,399000,HOUSE,HOUSE,3,132,0,0,0,1,30,1,30,110,None,0,GOOD,For Sale
ANTWERPEN,109000,APARTMENT,APARTMENT,1,21,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Ixelles,520000,APARTMENT,GROUND_FLOOR,2,142,1,0,0,1,25,1,65,None,2,0,JUST_RENOVATED,For Sale
Roosdaal,155000,HOUSE,HOUSE,2,64,0,0,0,1,6,0,None,42,2,0,TO_BE_DONE_UP,For Sale
Neder-over-Heembeek (Brussel),390000,HOUSE,HOUSE,2,171,0,0,0,0,None,0,None,121,2,0,None,For Sale
Woluwe-Saint-Lambert,749000,APARTMENT,PENTHOUSE,4,175,0,0,0,1,42,0,None,None,2,0,AS_NEW,For Sale
Sint-Truiden,295000,HOUSE,HOUSE,3,158,0,0,0,1,10,0,None,166,None,0,GOOD,For Sale
Winenne,169000,HOUSE,HOUSE,3,120,0,0,1,1,None,1,390,440,2,0,TO_RESTORE,For Sale
ANTWERPEN,109000,APARTMENT,FLAT_STUDIO,1,21,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Bavegem,419000,HOUSE,HOUSE,3,235,0,0,0,1,12,1,75,290,None,0,GOOD,For Sale
Sint-Amandsberg,675000,HOUSE,HOUSE,3,234,0,0,0,1,25,1,723,723,None,0,AS_NEW,For Sale
Gavere,378650,APARTMENT,APARTMENT,2,126,1,0,0,1,11,0,None,None,4,0,GOOD,For Sale
Sint-Niklaas,749000,HOUSE,HOUSE,5,271,0,0,0,1,20,1,1785,1968,4,0,None,For Sale
Zwevegem,585000,APARTMENT,PENTHOUSE,3,203,1,0,0,1,None,0,None,None,3,0,AS_NEW,For Sale
Uccle,634000,APARTMENT,APARTMENT,3,175,1,0,0,1,12,0,None,None,2,1,AS_NEW,For Sale
Vilvoorde,259000,APARTMENT,APARTMENT,2,95,0,0,0,1,2,0,None,None,2,0,AS_NEW,For Sale
Marchin,325000,HOUSE,HOUSE,5,283,0,0,0,1,None,0,None,1652,3,0,None,For Sale
Seraing,149000,HOUSE,HOUSE,3,110,0,0,0,0,None,0,None,50,2,0,None,For Sale
Brussels,349000,APARTMENT,APARTMENT,2,98,0,0,0,1,160,1,160,None,2,1,GOOD,For Sale
Deinze,239000,APARTMENT,APARTMENT,4,170,0,0,0,1,74,0,None,None,None,0,TO_BE_DONE_UP,For Sale
Gent,465000,HOUSE,HOUSE,4,127,1,0,0,1,40,1,40,96,2,0,AS_NEW,For Sale
SINT-BAAFS-VIJVE,495000,HOUSE,VILLA,3,195,0,0,1,1,None,0,None,633,None,0,GOOD,For Sale
Xhendremael,999000,HOUSE,EXCEPTIONAL_PROPERTY,10,934,0,0,0,1,30,0,None,34232,4,0,None,For Sale
Grez-Doiceau,380000,HOUSE,HOUSE,4,143,0,0,0,1,None,0,None,1664,4,0,None,For Sale
Ronse,299000,HOUSE,VILLA,4,190,1,0,0,1,18,1,240,343,3,0,AS_NEW,For Sale
NIVELLES,380000,HOUSE,HOUSE,4,180,0,0,0,1,8,1,60,162,2,0,TO_BE_DONE_UP,For Sale
Sint-Martens-Latem,595000,HOUSE,HOUSE,2,124,1,0,0,1,None,1,188,386,3,0,JUST_RENOVATED,For Sale
Oostakker,287000,APARTMENT,APARTMENT,2,83,1,0,0,1,15,0,None,None,None,0,GOOD,For Sale
Oostakker,296000,APARTMENT,APARTMENT,2,88,1,0,0,1,10,0,None,None,None,0,GOOD,For Sale
Oostakker,317000,APARTMENT,APARTMENT,3,92,1,0,0,1,15,0,None,None,None,0,GOOD,For Sale
Asse,284900,HOUSE,HOUSE,2,None,0,0,0,1,None,0,None,210,2,0,GOOD,For Sale
Liège,115000,HOUSE,HOUSE,3,72,0,0,0,0,None,1,10,50,2,0,TO_RENOVATE,For Sale
Liège,259000,HOUSE,HOUSE,2,167,0,0,1,1,None,0,None,267,2,0,AS_NEW,For Sale
Thuin,348917,HOUSE,HOUSE,3,174,1,0,0,1,15,1,370,563,3,0,GOOD,For Sale
ANTWERPEN,894000,HOUSE,HOUSE,7,375,1,0,0,1,None,1,70,176,None,0,GOOD,For Sale
TURNHOUT,135000,APARTMENT,APARTMENT,2,83,0,0,0,1,None,0,None,None,2,0,TO_BE_DONE_UP,For Sale
Geraardsbergen,179000,HOUSE,HOUSE,4,180,0,0,0,1,1,1,1,180,2,0,TO_RENOVATE,For Sale
Kortrijk,600000,APARTMENT,APARTMENT,3,136,1,0,0,1,11,0,None,None,4,0,JUST_RENOVATED,For Sale
Kortrijk,690000,APARTMENT,APARTMENT,3,144,1,0,0,1,18,0,None,None,4,0,JUST_RENOVATED,For Sale
Waregem,599000,HOUSE,COUNTRY_COTTAGE,3,265,0,0,0,1,35,1,2899,2899,4,0,GOOD,For Sale
Machelen,465000,HOUSE,HOUSE,3,172,0,0,0,0,None,0,None,1002,4,0,GOOD,For Sale
Anzegem,599000,HOUSE,COUNTRY_COTTAGE,3,265,0,0,0,1,35,1,2899,2899,4,0,GOOD,For Sale
Sint-Michiels,975000,HOUSE,HOUSE,6,435,0,0,0,1,None,1,785,785,3,1,GOOD,For Sale
Sint-Michiels,449000,APARTMENT,APARTMENT,3,113,0,0,0,1,24,0,None,None,3,0,AS_NEW,For Sale
Roeselare,195000,APARTMENT,APARTMENT,1,71,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Ingelmunster,250000,HOUSE,HOUSE,3,154,0,0,0,1,15,0,None,1000,4,0,GOOD,For Sale
TOURNAI,215000,APARTMENT,APARTMENT,2,130,0,0,0,1,15,0,None,None,None,0,None,For Sale
DESTELBERGEN,339000,APARTMENT,APARTMENT,3,120,0,0,0,1,13,0,None,None,2,0,None,For Sale
ELEWIJT,299000,HOUSE,HOUSE,3,164,0,0,0,1,None,0,None,546,3,0,TO_RENOVATE,For Sale
Antwerpen,479000,APARTMENT,APARTMENT,2,82,0,0,0,1,38,0,None,None,2,0,AS_NEW,For Sale
Brussel,326000,APARTMENT,APARTMENT,2,80,0,0,0,1,4,0,None,None,3,0,GOOD,For Sale
Meulebeke,499500,HOUSE,MANSION,4,500,0,0,0,1,None,0,None,1308,3,0,TO_BE_DONE_UP,For Sale
Deinze,410400,HOUSE,HOUSE,3,123,1,0,0,1,None,0,None,234,3,0,GOOD,For Sale
WACHTEBEKE,325000,APARTMENT,APARTMENT,3,173,0,0,0,1,7,0,None,None,2,0,None,For Sale
ANTWERPEN,645000,APARTMENT,APARTMENT,3,213,0,0,0,1,2,0,None,None,None,0,TO_RENOVATE,For Sale
RONSE,295000,HOUSE,VILLA,3,215,0,0,0,1,None,0,None,811,4,0,TO_BE_DONE_UP,For Sale
WACHTEBEKE,325000,APARTMENT,APARTMENT,3,169,0,0,0,1,7,0,None,None,2,0,None,For Sale
Anderlecht,344000,APARTMENT,PENTHOUSE,1,83,1,0,0,1,25,1,26,None,2,0,GOOD,For Sale
Deinze,381000,HOUSE,HOUSE,3,123,1,0,0,1,None,0,None,191,2,0,GOOD,For Sale
Deinze,421900,HOUSE,HOUSE,3,132,1,0,0,1,None,0,None,226,3,0,GOOD,For Sale
Deinze,423400,HOUSE,HOUSE,3,132,1,0,0,1,None,0,None,227,3,0,GOOD,For Sale
Deinze,485000,HOUSE,VILLA,3,132,1,0,0,1,None,0,None,419,4,0,GOOD,For Sale
Deinze,586500,HOUSE,VILLA,3,192,1,0,0,1,None,0,None,432,4,0,GOOD,For Sale
Deinze,588500,HOUSE,HOUSE,3,140,1,0,0,1,None,0,None,419,3,0,GOOD,For Sale
Deinze,597000,HOUSE,VILLA,3,192,1,0,0,1,None,0,None,552,4,0,GOOD,For Sale
